,Filename,File Extension,Time Created,Time Modified
104,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1009.6)_In_PlaneAnis_K(60000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:39
105,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1009.6)_In_PlaneAnis_K(60000)_Ratio(1).out,out,2020-03-17 15:39:18,2020-03-17 15:39:19
106,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(101.01)_In_PlaneAnis_K(100000)_Ratio(1).mx3,mx3,2020-03-17 12:45:05,2020-03-17 12:00:39
107,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(101.01)_In_PlaneAnis_K(100000)_Ratio(1).out,out,2020-03-17 15:41:06,2020-03-17 15:41:06
108,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(101.01)_In_PlaneAnis_K(50000)_Ratio(1).mx3,mx3,2020-03-17 12:45:05,2020-03-17 12:00:39
109,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(101.01)_In_PlaneAnis_K(50000)_Ratio(1).out,out,2020-03-17 15:42:59,2020-03-17 15:42:59
110,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(101.01)_In_PlaneAnis_K(80000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:39
111,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(101.01)_In_PlaneAnis_K(80000)_Ratio(1).out,out,2020-03-17 15:40:57,2020-03-17 15:40:57
112,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(101.52)_In_PlaneAnis_K(60000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:39
113,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(101.52)_In_PlaneAnis_K(60000)_Ratio(1).out,out,2020-03-17 15:42:56,2020-03-17 15:42:57
114,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1010)_In_PlaneAnis_K(0)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:38
115,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1010)_In_PlaneAnis_K(0)_Ratio(1).out,out,2020-03-17 15:45:09,2020-03-17 15:45:09
116,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1010.1)_In_PlaneAnis_K(100000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:39
117,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1010.1)_In_PlaneAnis_K(100000)_Ratio(1).out,out,2020-03-17 15:46:52,2020-03-17 15:46:52
118,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1013.89)_In_PlaneAnis_K(90000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:39
119,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1013.89)_In_PlaneAnis_K(90000)_Ratio(1).out,out,2020-03-17 15:48:44,2020-03-17 15:48:44
120,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1015.15)_In_PlaneAnis_K(20000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
121,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1015.15)_In_PlaneAnis_K(20000)_Ratio(1).out,out,2020-03-17 15:50:34,2020-03-17 15:50:34
122,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1015.15)_In_PlaneAnis_K(50000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:39
123,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1015.15)_In_PlaneAnis_K(50000)_Ratio(1).out,out,2020-03-17 15:52:23,2020-03-17 15:52:24
124,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1018.18)_In_PlaneAnis_K(80000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:39
125,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1018.18)_In_PlaneAnis_K(80000)_Ratio(1).out,out,2020-03-17 15:54:15,2020-03-17 15:54:15
126,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(102.27)_In_PlaneAnis_K(50000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:39
